host,size,shuffle,variant,reference,tm_med,tr_med,tm_ratio,tr_ratio,tm_w1_pct,tr_w1_pct,delta_w1_pct,tr_gt_tm_w1
camd9554n1,64,1,tsc_native_current,tsc_current,2744.0,2714.0,1.7022332506203475,1.715549936788875,70.08290288706421,70.36772208436726,-0.28481919730305094,True
camd9554n1,64,1,tsc_pre_cgt,tsc_current,1602.0,1572.0,0.9937965260545906,0.9936788874841972,0.7600312521835073,0.7748424317617866,-0.014811179578279265,True
camd9554n1,64,1,wtime_current,tsc_current,2763.0,2723.0,1.7140198511166254,1.7212389380530972,70.72067271096263,70.33001861042185,0.390654100540786,False
camd9554n1,64,2,cgt_current,tsc_current,2764.0,2724.0,1.7146401985111663,1.7218710493046776,70.75898477665667,70.41589392059552,0.34309085606115275,False
camd9554n1,64,2,papi_time_only,tsc_current,2213.0,1583.0,1.3728287841191067,1.0006321112515804,36.99925933580206,0.3498250620347394,36.64943427376732,False
camd9554n1,64,2,papix6_current,tsc_current,3344.0,2713.0,2.074441687344913,1.7149178255372945,106.80509868251143,69.82119727047146,36.98390141203997,False
camd9554n1,64,2,papix6_no_read,tsc_current,3354.0,2723.0,2.0806451612903225,1.7212389380530972,107.55272687597486,70.56882506203472,36.983901813940136,False
camd9554n1,64,2,papix6_read_before_ns0,tsc_current,2213.0,1583.0,1.3728287841191067,1.0006321112515804,37.07721942547662,0.33722637893528357,36.739993046541336,False
camd9554n1,64,2,tsc_cpuid_mem,tsc_current,1612.0,1582.0,1.0,1.0,0.014512239209848121,0.2844640198511166,-0.26995178064126846,True
camd9554n1,64,2,tsc_current,tsc_current,1612.0,1582.0,1.0,1.0,0.0,0.0,0.0,False
camd9554n1,64,2,tsc_lfence_mem,tsc_current,2724.0,2694.0,1.6898263027295286,1.7029077117572693,68.3979266995018,68.64391315136477,-0.24598645186297574,True
camd9554n1,64,2,tsc_native_current,tsc_current,2744.0,2714.0,1.7022332506203475,1.715549936788875,70.12423655240559,70.42287282878411,-0.29863627637851664,True
camd9554n1,64,2,tsc_pre_cgt,tsc_current,1602.0,1572.0,0.9937965260545906,0.9936788874841972,0.7288745314368743,0.7254342431761786,0.0034402882606957563,False
camd9554n1,64,2,wtime_current,tsc_current,2763.0,2723.0,1.7140198511166254,1.7212389380530972,70.80358285527105,70.43268486352358,0.3708979917474693,False
camd9554n1,128,0,cgt_current,tsc_current,10785.0,10725.0,1.7040606730921157,1.7026512144784887,70.39329223193062,70.01206847851647,0.3812237534141474,False
camd9554n1,128,0,papi_time_only,tsc_current,6900.0,6270.0,1.0902196239532311,0.9953960946181933,9.11956579919564,0.44196091001259014,8.67760488918305,False
camd9554n1,128,0,papix6_current,tsc_current,11366.0,10715.0,1.7958603254858587,1.7010636608985554,79.67979672392319,69.9506952757988,9.729101448124396,False
